Date,Price,Open,High,Low,Vol.,Change %
8/11/2021,281.2,276.6,281.2,275,669.04K,1.74%
8/10/2021,276.4,270.4,277,270.4,270.67K,2.37%
8/9/2021,270,276.8,276.8,270,158.97K,-2.17%
8/6/2021,276,272,277.8,272,209.73K,1.47%
8/5/2021,272,269.8,272,268,200.79K,1.49%
8/4/2021,268,269,270.8,266,169.54K,-0.37%
8/3/2021,269,265.2,269,263.2,295.19K,1.43%
8/2/2021,265.2,265,267,264,180.51K,0.08%
7/30/2021,265,269,269,265,352.63K,-0.75%
7/29/2021,267,267,269.8,266.6,262.01K,0.00%
7/28/2021,267,272,272,267,199.32K,-1.84%
7/27/2021,272,269,272,268,200.27K,1.87%
7/26/2021,267,269.8,269.8,267,103.06K,-0.74%
7/23/2021,269,270,270,267.8,84.73K,-0.15%
7/22/2021,269.4,267,270.4,267,97.77K,1.28%
7/21/2021,266,270.6,274,266,410.58K,-1.70%
7/19/2021,270.6,272,272.4,270.4,257.20K,-0.51%
7/16/2021,272,273.2,277,272,250.17K,-0.37%
7/15/2021,273,275.2,278,273,104.67K,-0.58%
7/14/2021,274.6,276.4,276.6,274.6,203.44K,-0.72%
7/13/2021,276.6,275.4,276.8,275.4,89.26K,0.44%
7/12/2021,275.4,275.8,280,274.4,294.85K,0.07%
7/9/2021,275.2,280.6,280.8,275.2,404.03K,-2.06%
7/8/2021,281,285,285,280,197.50K,-1.40%
7/7/2021,285,284.4,285,282,160.68K,0.49%
7/6/2021,283.6,283,284.8,282,147.65K,0.57%
7/5/2021,282,282,283.4,281.8,63.42K,0.14%
7/2/2021,281.6,280.8,281.6,278.4,176.80K,1.29%
7/1/2021,278,278,281,277.4,148.15K,0.29%
6/30/2021,277.2,279,279,276,198.58K,0.80%
6/29/2021,275,278,279,275,127.91K,-1.08%
6/28/2021,278,275.4,278.6,275.4,160.20K,0.94%
6/25/2021,275.4,276,277.8,275.4,178.81K,-0.07%
6/24/2021,275.6,278,278,275.6,209.11K,0.15%
6/23/2021,275.2,276,278,275.2,214.43K,-0.29%
6/22/2021,276,278,278.2,275.8,148.34K,0.07%
6/21/2021,275.8,279.6,279.6,275.2,130.73K,-1.36%
6/18/2021,279.6,278.4,280,275,486.40K,0.58%
6/17/2021,278,279,279.2,277.2,167.05K,0.00%
6/16/2021,278,280,281.6,277,228.68K,-0.71%
6/15/2021,280,280.2,281.6,279.2,440.48K,0.00%
6/14/2021,280,279,282.2,279,125.73K,0.00%
6/11/2021,280,280,280.4,278,116.58K,0.86%
6/10/2021,277.6,278,280.8,277.6,193.91K,0.80%
6/9/2021,275.4,275.4,278.6,275.4,123.02K,0.15%
6/8/2021,275,275.6,281,275,263.07K,0.00%
6/7/2021,275,281,282,275,409.61K,-2.48%
6/4/2021,282,285,285,281.2,146.89K,-0.70%
6/3/2021,284,285,285.4,280,148.00K,-0.35%
6/2/2021,285,280,285,278.2,165.86K,1.79%
6/1/2021,280,283.6,283.6,280,176.84K,-1.27%
5/31/2021,283.6,284,284.6,282,101.71K,-0.14%
5/28/2021,284,276.4,285,276.4,372.26K,2.90%
5/27/2021,276,272.8,276.6,272.8,1.12M,1.25%
5/26/2021,272.6,274,276.4,272.6,324.90K,-0.51%
5/25/2021,274,272.4,274,271.8,245.06K,0.59%
5/24/2021,272.4,272,273.6,271.8,119.40K,0.15%
5/21/2021,272,274,275,272,142.92K,-0.73%
5/20/2021,274,274,274,272.6,187.81K,0.07%
5/19/2021,273.8,273.8,273.8,272,73.03K,0.00%
5/18/2021,273.8,273.8,273.8,271.4,118.11K,0.00%
